method	taxid
rfam	29339
rfam	261591
rfam	261594
rfam	315730
rfam	339854
rfam	527020
cmsearch_rfam	1313
cmsearch_rfam	1396
cmsearch_rfam	1405
cmsearch_rfam	1428
cmsearch_rfam	1430
cmsearch_rfam	1432
cmsearch_rfam	1433
cmsearch_rfam	1434
cmsearch_rfam	1440
cmsearch_rfam	1441
cmsearch_rfam	29338
cmsearch_rfam	29339
cmsearch_rfam	52024
cmsearch_rfam	155322
cmsearch_rfam	180868
cmsearch_rfam	180876
cmsearch_rfam	180884
cmsearch_rfam	180896
cmsearch_rfam	257986
cmsearch_rfam	527020
cmsearch_rfam	527021
cmsearch_rfam	527023
cmsearch_rfam	570416
cmsearch_rfam	1218175
cmsearch_rfam	1238885
cmsearch_rfam	1261129
cmsearch_rfam	1279365
cmsearch_rfam	1324966
cmsearch_rfam	1452729
cmsearch_rfam	1736425
cmsearch_rfam	1736451
cmsearch_rfam	1761766
cmsearch_rfam	1982041
cmsearch_rfam	2026186
cmsearch_rfam	2026189
cmsearch_rfam	2184001
pdb	1428
pdb	29471
cmsearch_pdb	562
cmsearch_pdb	573
cmsearch_pdb	575
cmsearch_pdb	624
cmsearch_pdb	28141
cmsearch_pdb	28901
cmsearch_pdb	57743
cmsearch_pdb	61645
cmsearch_pdb	454165
cmsearch_pdb	656421
cmsearch_pdb	910413
cmsearch_pdb	910417
cmsearch_pdb	910419
cmsearch_pdb	1005566
cmsearch_pdb	1169396
cmsearch_pdb	2071683
cmsearch_pdb	2093874
lit1	738
lit1	29471
lit1	478749
lit1	557723
lit1	596323
lit1	596324
lit1	596325
lit1	634994
lit1	657317
lit1	657318
lit1	751585
lit1	768727
lit1	866773
lit1	929506
lit1	1033837
cmsearch_lit1	738
cmsearch_lit1	850
cmsearch_lit1	861
cmsearch_lit1	29471
cmsearch_lit1	76857
cmsearch_lit1	350688
cmsearch_lit1	469605
cmsearch_lit1	469617
cmsearch_lit1	557723
cmsearch_lit1	1050201
cmsearch_lit1	1117322
cmsearch_lit1	1120992
cmsearch_lit1	1138429
cmsearch_lit1	1275966
cmsearch_lit1	1275967
cmsearch_lit1	1275968
cmsearch_lit1	1275969
cmsearch_lit1	1275971
cmsearch_lit1	1399771
cmsearch_lit1	1399772
cmsearch_lit1	1401079
cmsearch_lit1	1437068
cmsearch_lit1	1450513
cmsearch_lit1	1450514
cmsearch_lit1	1450515
cmsearch_lit1	1473580
cmsearch_lit1	1982626
cmsearch_lit1	2663009
pfam	228400
pfam	557723
pfam	573061
pfam	633697
pfam	937774
pfam	1262777
pfam	1262784
pfam	1262800
pfam	1262812
pfam	1262816
