#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_RHDS01000004.1    -         result               -          cm        1       37   343492   343529      +    no    1 0.37   0.0   32.8        24 ?   [Curtobacterium] plantarum strain LMG 16222 LMG16222.00004, whole genome shotgun sequence
NZ_RBTS01000106.1    -         result               -          cm        1       37     3967     4004      +    no    1 0.37   0.0   32.8        24 ?   Pseudomonas amygdali pv. sesami strain ICMP 4995 PseICMP4995_Contig_35, whole genome shotgun sequence
NZ_LJRG01000153.1    -         result               -          cm        1       37    12292    12255      -    no    1 0.37   0.0   32.8        24 ?   Pseudomonas amygdali pv. sesami strain ICMP763 PseICMP763_Contig_2, whole genome shotgun sequence
NZ_JWID01000021.1    -         result               -          cm        1       37    13084    13119      +    no    1 0.44   0.0   32.1        37 ?   Defluviitalea phaphyphila strain Alg1 scaffold21, whole genome shotgun sequence
NZ_JWID01000021.1    -         result               -          cm        1       37    13014    13049      +    no    1 0.44   0.0   32.1        37 ?   Defluviitalea phaphyphila strain Alg1 scaffold21, whole genome shotgun sequence
NZ_POSM01000034.1    -         result               -          cm        1       37     9922     9959      +    no    1 0.39   0.0   31.9        41 ?   Vibrio diazotrophicus strain 65.10M Contig034, whole genome shotgun sequence
NZ_FUWO01000007.1    -         result               -          cm        1       37    62020    62057      +    no    1 0.34   0.0   31.8        43 ?   Globicatella sulfidifaciens DSM 15739, whole genome shotgun sequence
NZ_JH815232.1        -         result               -          cm        1       37   619049   619084      +    no    1 0.44   0.0   31.2        63 ?   Fusobacterium ulcerans ATCC 49185 supercont2.5, whole genome shotgun sequence
NZ_CP028105.1        -         result               -          cm        1       37   432048   432013      -    no    1 0.44   0.0   31.2        63 ?   Fusobacterium ulcerans strain ATCC 49185 chromosome, complete genome
NZ_LS483487.1        -         result               -          cm        1       37  2420107  2420072      -    no    1 0.44   0.0   31.2        63 ?   Fusobacterium ulcerans strain NCTC12112 genome assembly, chromosome: 1
NC_009922.1          -         result               -          cm        1       37  1952894  1952858      -    no    1 0.43   0.0   30.9        78 ?   Alkaliphilus oremlandii OhILAs, complete genome
NZ_RBSI01000107.1    -         result               -          cm        1       37    17204    17240      +    no    1 0.38   0.0   30.8        82 ?   Pseudomonas coronafaciens pv. garcae strain ICMP 3649 PgcICMP3649_Contig_99, whole genome shotgun sequence
NZ_SACS01000024.1    -         result               -          cm        1       37    10511    10475      -    no    1 0.38   0.0   30.8        82 ?   Rheinheimera sp. KYPC3 NODE_24_length_76685_cov_89, whole genome shotgun sequence
NZ_GG657971.1        -         result               -          cm        1       37    76396    76434      +    no    1 0.31   0.0   30.6        91 ?   Fusobacterium gonidiaformans 3-1-5R strain 3_1_5R supercont1.1, whole genome shotgun sequence
NZ_SACS01000024.1    -         result               -          cm        1       37    10581    10545      -    no    1 0.41   0.0   30.6        91 ?   Rheinheimera sp. KYPC3 NODE_24_length_76685_cov_89, whole genome shotgun sequence
NZ_CP022736.1        -         result               -          cm        1       37  4318910  4318874      -    no    1 0.38   0.0   30.6        95 ?   Herbaspirillum sp. meg3 chromosome, complete genome
NZ_PYLP01000006.1    -         result               -          cm        1       37   105859   105895      +    no    1 0.41   0.0   30.3   1.1e+02 ?   Lachnoclostridium sp. SNUG30370 scaffold_5, whole genome shotgun sequence
NZ_NFCR01000095.1    -         result               -          cm        1       37    20917    20951      +    no    1 0.37   0.0   30.1   1.3e+02 ?   Bacillus thuringiensis serovar malayensis strain BGSC 4AV1 4AV1_contig000095, whole genome shotgun sequence
NZ_NUEH01000055.1    -         result               -          cm        1       37    38374    38340      -    no    1 0.37   0.0   30.1   1.3e+02 ?   Bacillus toyonensis strain AFS005430 AFS005430_100_E12_Contig55_140514, whole genome shotgun sequence
NZ_NUDM01000074.1    -         result               -          cm        1       37    31503    31469      -    no    1 0.37   0.0   30.1   1.3e+02 ?   Bacillus toyonensis strain AFS010752 AFS010752_108_G1_Contig96_140523, whole genome shotgun sequence
NZ_NUCC01000044.1    -         result               -          cm        1       37    17917    17883      -    no    1 0.37   0.0   30.1   1.3e+02 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig44_140514, whole genome shotgun sequence
NZ_NUTK01000059.1    -         result               -          cm        1       37     2456     2490      +    no    1 0.37   0.0   30.1   1.3e+02 ?   Bacillus toyonensis strain AFS038153 AFS038153_108_E2_Contig59_140523, whole genome shotgun sequence
NZ_PVMY01000036.1    -         result               -          cm        1       37     3437     3474      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Cronobacter sakazakii strain MOD1_LR745 LR745_contig_36, whole genome shotgun sequence
NZ_PTOS01000023.1    -         result               -          cm        1       37    34776    34813      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Cronobacter sakazakii strain MOD1_LR753 LR753_contig_15, whole genome shotgun sequence
NZ_BGMD01000019.1    -         result               -          cm        1       37     4039     4076      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Enterobacter cloacae strain TUM5376, whole genome shotgun sequence
NZ_JTBN02000002.1    -         result               -          cm        1       37    68415    68452      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Enterobacter hormaechei strain FDAARGOS_69 scf7180000000011_quiver_pilon, whole genome shotgun sequence
NZ_LPOH01000025.1    -         result               -          cm        1       37    35188    35225      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Enterobacter hormaechei subsp. hoffmannii strain SMART_1105 contig31, whole genome shotgun sequence
NZ_QMCW01000111.1    -         result               -          cm        1       37     9756     9793      +    no    1 0.39   0.0   30.1   1.3e+02 ?   Enterobacter hormaechei subsp. oharae strain 105I8 105I8_S178_R1__paired__contig_112, whole genome shotgun sequence
NZ_JZXT01000014.1    -         result               -          cm        1       37    52905    52868      -    no    1 0.39   0.0   30.1   1.3e+02 ?   Enterobacter hormaechei subsp. xiangfangensis strain 44565 contig14, whole genome shotgun sequence
NZ_LT608327.1        -         result               -          cm        1       37   289983   290022      +    no    1 0.43   0.0   30.1   1.3e+02 ?   Fusobacterium massiliense strain Marseille-P2749, whole genome shotgun sequence
NZ_QSTZ01000034.1    -         result               -          cm        1       37     3498     3461      -    no    1 0.42   0.0   30.1   1.3e+02 ?   Fusobacterium mortiferum strain OM06-15BH OM06-15BH.Scaf34, whole genome shotgun sequence
NZ_KB913034.1        -         result               -          cm        1       37  1301394  1301428      +    no    1 0.46   0.0   30.0   1.3e+02 ?   Allobaculum stercoricanis DSM 13633 AllstDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_KB913034.1        -         result               -          cm        1       37  1301462  1301496      +    no    1 0.46   0.0   30.0   1.3e+02 ?   Allobaculum stercoricanis DSM 13633 AllstDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_NUCC01000039.1    -         result               -          cm        1       37     4698     4664      -    no    1 0.40   0.0   29.9   1.4e+02 ?   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
