#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NRNN01000027.1    -         result               -          cm        1       36       17       52      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_NRNN01000027.1    -         result               -          cm        1       36       53       88      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_NRNN01000027.1    -         result               -          cm        1       36       89      124      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_NRNN01000027.1    -         result               -          cm        1       36     4247     4282      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_NRNN01000027.1    -         result               -          cm        1       36     4283     4318      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter dublinensis strain cro3540W contig27, whole genome shotgun sequence
NZ_PTPA01000030.1    -         result               -          cm        1       36      617      652      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter sakazakii strain MOD1_LR654 LR654_contig_93, whole genome shotgun sequence
NZ_PTPA01000030.1    -         result               -          cm        1       36      653      688      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter sakazakii strain MOD1_LR654 LR654_contig_93, whole genome shotgun sequence
NZ_PTPA01000030.1    -         result               -          cm        1       36      725      760      +    no    1 0.39   0.0   55.7     1e-06 !   Cronobacter sakazakii strain MOD1_LR654 LR654_contig_93, whole genome shotgun sequence
NZ_LLJM01000066.1    -         result               -          cm        1       36      733      698      -    no    1 0.39   0.0   55.7     1e-06 !   Enterobacter asburiae strain AMA 497 contig_66, whole genome shotgun sequence
NZ_KB002696.1        -         result               -          cm        1       36     6004     5969      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli 96.0939 gec960939.contig.21, whole genome shotgun sequence
NZ_ANYJ01000083.1    -         result               -          cm        1       36     6375     6410      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli KTE163 acwoM-supercont1.83, whole genome shotgun sequence
NZ_LYWM01000102.1    -         result               -          cm        1       36       78       43      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 017PP2015 NODE_52_length_6515_cov_341.106_ID_5064, whole genome shotgun sequence
NZ_LYWM01000102.1    -         result               -          cm        1       36     6473     6438      -    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 017PP2015 NODE_52_length_6515_cov_341.106_ID_5064, whole genome shotgun sequence
NZ_BDLK01000116.1    -         result               -          cm        1       36     3384     3419      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 11247, whole genome shotgun sequence
NZ_PGJX01000125.1    -         result               -          cm        1       36     1679     1714      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 12b3 NODE_125_length_2426_cov_2.1505, whole genome shotgun sequence
NZ_JHRZ01000067.1    -         result               -          cm        1       36     2120     2155      +    no    1 0.39   0.0   55.7     1e-06 !   Escherichia coli strain 200146 200146_67, whole genome shotgun sequence
