#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_NUCC01000039.1    -         ToxI                 RF02519    cm        1       34     4697     4664      -    no    1 0.41   0.0   58.5   9.3e-05 !   Bacillus toyonensis strain AFS020202 AFS020202_99_G2_Contig39_140514, whole genome shotgun sequence
NZ_FWZF01000015.1    -         ToxI                 RF02519    cm        1       34    52832    52799      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cereus strain 16-00176, whole genome shotgun sequence
NZ_NTQR01000039.1    -         ToxI                 RF02519    cm        1       34    20260    20293      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cereus strain AFS025457 AFS025457_96_D3_Contig39_140514, whole genome shotgun sequence
NZ_NTQN01000033.1    -         ToxI                 RF02519    cm        1       34    57054    57021      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cereus strain AFS025653 AFS025653_106_D5_Contig33_140523, whole genome shotgun sequence
NZ_NTTC01000145.1    -         ToxI                 RF02519    cm        1       34      168      201      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cereus strain AFS028292 AFS028292_106_E5_Contig145_140523, whole genome shotgun sequence
NZ_NUWD01000074.1    -         ToxI                 RF02519    cm        1       34    13549    13582      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cereus strain AFS084444 AFS084444_100_G10_Contig32_140514, whole genome shotgun sequence
NZ_CP024122.1        -         ToxI                 RF02519    cm        1       34     6885     6852      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_1 plasmid pCh1_67, complete sequence
NZ_CP024110.1        -         ToxI                 RF02519    cm        1       34     4410     4443      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_13 plasmid pCh13_79, complete sequence
NZ_CP024108.1        -         ToxI                 RF02519    cm        1       34    21027    20994      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_15 plasmid pCh15_83, complete sequence
NZ_CP024118.1        -         ToxI                 RF02519    cm        1       34    10428    10461      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_2 plasmid pCh2_83, complete sequence
NZ_CP024106.1        -         ToxI                 RF02519    cm        1       34    28962    28995      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_23 plasmid pCh23_67, complete sequence
NZ_CP024103.1        -         ToxI                 RF02519    cm        1       34    66464    66497      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_25 plasmid pCh25_67, complete sequence
NZ_CP024115.1        -         ToxI                 RF02519    cm        1       34     7992     7959      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_3 plasmid pCh3_83, complete sequence
NZ_CP024100.1        -         ToxI                 RF02519    cm        1       34      329      296      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_38 plasmid pCh38_83, complete sequence
NZ_CP024097.1        -         ToxI                 RF02519    cm        1       34    25187    25154      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_39 plasmid pCh39_83, complete sequence
NZ_CP024112.1        -         ToxI                 RF02519    cm        1       34    21027    20994      -    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus cytotoxicus strain CH_4 plasmid pCh4_83, complete sequence
NC_010181.1          -         ToxI                 RF02519    cm        1       34    47243    47276      +    no    1 0.41   0.0   58.5   9.6e-05 !   Bacillus weihenstephanensis KBAB4 plasmid pBWB402, complete genome
