YP_001513384.1,Alkaliphilus_oremlandii_OhILAs
CP000047.1,Bacillus_thuringiensis_serovar_konkukian_97-27_pBT9727
AAZ06636.1,Bacillus_thuringiensis_serovar_kurstaki_HD73_pAW63
YP_001642731.1,Bacillus_weihenstephanensis_KBAB4_pBWB402
FJ176937.1,Erwinia_carotovora_subsp_atroseptica_1039_pECA1039
ZP_02272649.1,Fusobacterium_nucleatum_subsp_polymorphum_ATCC10953
YP_271719.1,Haemophilus_influenzae_biotype_aegyptius_pF1947
ZP_00133190.1,Histophilus_somni_2336
NP_862552.1,Lactococcus_lactis_subsp_lactis_W-37_pSRQ900
ZP_01968975.1,Ruminococcus_torques_ATCC_27756
ZP_01667702.1,Thermosinus_carboxydivorans_Nor1
